Staten Island Rolling Sales File.  All Sales From February 2016 - January 2017.,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sales File as of 2/13/2017  Co-op Sales Files as of 2/11/2017,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Neighborhood Names and Descriptive Data as of 5/26/2016,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Building Class Category is based on Building Class at Time of Sale.,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BOROUGH, NEIGHBORHOOD , BUILDING CLASS CATEGORY , TAX CLASS AT PRESENT , BLOCK , LOT , EASE-MENT , BUILDING CLASS AT PRESENT , ADDRESS , APARTMENT NUMBER , ZIP CODE , RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET , YEAR BUILT , TAX CLASS AT TIME OF SALE , BUILDING CLASS AT TIME OF SALE , SALE PRICE , SALE DATE 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6219 , 22 ,   , A5 , 53 ENDVIEW STREET ,   , 10312 , 1 , 0 , 1 , 1759 , 1700 , 2004 , 1 , A5 , 483000 , 42551 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6219 , 23 ,   , A5 , 51 ENDVIEW STREET ,   , 10312 , 1 , 0 , 1 , 1567 , 1700 , 2004 , 1 , A5 , 477000 , 42541 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6220 , 9 ,   , A5 , 55 BARB STREET ,   , 10312 , 1 , 0 , 1 , 2575 , 1339 , 2004 , 1 , A5 , 490000 , 42424 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6220 , 13 ,   , A5 , 47 BARB STREET ,   , 10312 , 1 , 0 , 1 , 1585 , 1339 , 2004 , 1 , A5 , 450000 , 42412 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6220 , 21 ,   , A5 , 29 BARB STREET ,   , 10312 , 1 , 0 , 1 , 1485 , 1339 , 2004 , 1 , A5 , 0 , 42741 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6220 , 24 ,   , A5 , 23 BARB STREET ,   , 10312 , 1 , 0 , 1 , 2575 , 1339 , 2004 , 1 , A5 , 500000 , 42633 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6220 , 54 ,   , A5 , 20 ENDVIEW STREET ,   , 10312 , 1 , 0 , 1 , 1648 , 1344 , 2003 , 1 , A5 , 275000 , 42430 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6226 , 37 ,   , A1 , 770 ANNADALE ROAD ,   , 10312 , 1 , 0 , 1 , 7000 , 1386 , 1925 , 1 , A1 , 0 , 42566 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6226 , 93 ,   , A2 , 55 JEFFERSON BOULEVARD ,   , 10312 , 1 , 0 , 1 , 3402 , 1360 , 1930 , 1 , A2 , 442000 , 42681 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6226 , 136 ,   , A1 , 941 CARLTON BOULEVARD ,   , 10312 , 1 , 0 , 1 , 4785 , 944 , 1910 , 1 , A1 , 405000 , 42669 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6227 , 10 ,   , A2 , 117 JEFFERSON BOULEVARD ,   , 10312 , 1 , 0 , 1 , 5000 , 1096 , 1965 , 1 , A2 , 0 , 42507 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6227 , 33 ,   , A2 , 146 DETROIT AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1848 , 1965 , 1 , A2 , 0 , 42465 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6227 , 37 ,   , A2 , 138 DETROIT AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1848 , 1965 , 1 , A2 , 0 , 42439 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6228 , 25 ,   , A0 , 158 EDGEGROVE AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 938 , 1950 , 1 , A0 , 0 , 42501 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6228 , 27 ,   , A1 , 154 EDGEGROVE AVENUE ,   , 10312 , 1 , 0 , 1 , 8000 , 1915 , 1935 , 1 , A1 , 0 , 42501 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6228 , 61 ,   , A2 , 147 DETROIT AVENUE ,   , 10312 , 1 , 0 , 1 , 8000 , 840 , 1920 , 1 , A2 , 0 , 42501 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6228 , 61 ,   , A2 , 147 DETROIT AVENUE ,   , 10312 , 1 , 0 , 1 , 8000 , 840 , 1920 , 1 , A2 , 0 , 42466 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6230 , 37 ,   , A2 , 624 DRUMGOOLE ROAD EAST ,   , 10312 , 1 , 0 , 1 , 8000 , 832 , 1930 , 1 , A2 , 280000 , 42558 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6232 , 11 ,   , A1 , 182 RATHBUN AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1630 , 1960 , 1 , A1 , 522500 , 42499 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6233 , 64 ,   , A2 , 151 RATHBUN AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1092 , 1960 , 1 , A2 , 0 , 42472 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6234 , 45 ,   , A2 , 578 ARDEN AVENUE ,   , 10312 , 1 , 0 , 1 , 4200 , 1290 , 1935 , 1 , A2 , 490000 , 42639 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6235 , 27 ,   , A2 , 140 SINCLAIR AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1176 , 1965 , 1 , A2 , 400000 , 42724 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6236 , 9 ,   , A1 , 383 JEFFERSON BOULEVARD ,   , 10312 , 1 , 0 , 1 , 3960 , 1165 , 1940 , 1 , A1 , 590000 , 42573 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6236 , 50 ,   , A2 , 107 SINCLAIR AVENUE ,   , 10312 , 1 , 0 , 1 , 6000 , 2016 , 1960 , 1 , A2 , 0 , 42549 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6238 , 23 ,   , A1 , 240 CROWN AVENUE ,   , 10312 , 1 , 0 , 1 , 8000 , 2870 , 1975 , 1 , A1 , 690000 , 42517 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6239 , 79 ,   , A2 , 247 CROWN AVENUE ,   , 10312 , 1 , 0 , 1 , 8760 , 1569 , 1916 , 1 , A2 , 0 , 42416 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6243 , 29 ,   , A1 , 26 SHERIDAN PLACE ,   , 10312 , 1 , 0 , 1 , 5500 , 2736 , 1946 , 1 , A1 , 690000 , 42482 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6245 , 166 ,   , A1 , 62 HILLIS STREET ,   , 10312 , 1 , 0 , 1 , 4700 , 2560 , 1970 , 1 , A1 , 555000 , 42411 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6245 , 166 ,   , A1 , 62 HILLIS STREET ,   , 10312 , 1 , 0 , 1 , 4700 , 2560 , 1970 , 1 , A1 , 0 , 42411 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6245 , 210 ,   , A2 , 64 PINE TERRACE ,   , 10312 , 1 , 0 , 1 , 6080 , 2156 , 1960 , 1 , A2 , 695000 , 42401 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6246 , 60 ,   , A1 , 5031 AMBOY ROAD ,   , 10312 , 1 , 0 , 1 , 9504 , 1572 , 1899 , 1 , A1 , 0 , 42529 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6247 , 50 ,   , A1 , 4 POILLON AVENUE ,   , 10312 , 1 , 0 , 1 , 11213 , 2404 , 1978 , 1 , A1 , 0 , 42467 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6249 , 24 ,   , A3 , 58 TENAFLY PLACE ,   , 10312 , 1 , 0 , 1 , 4630 , 2270 , 2014 , 1 , A3 , 645570 , 42529 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6249 , 155 ,   , A1 , 23 ELY AVENUE ,   , 10312 , 1 , 0 , 1 , 4551 , 1768 , 1965 , 1 , A1 , 660000 , 42600 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6249 , 239 ,   , A2 , 116 NORTH PINE TERRACE ,   , 10312 , 1 , 0 , 1 , 4000 , 2008 , 1965 , 1 , A2 , 550000 , 42535 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6249 , 414 ,   , A2 , 924 ANNADALE ROAD ,   , 10312 , 1 , 0 , 1 , 4879 , 2088 , 1965 , 1 , A2 , 0 , 42641 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6249 , 516 ,   , A5 , 24 EAST TENAFLY AVENUE ,   , 10312 , 1 , 0 , 1 , 3900 , 1834 , 1975 , 1 , A5 , 510000 , 42709 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6249 , 518 ,   , A1 , 20 EAST TENAFLY AVENUE ,   , 10312 , 1 , 0 , 1 , 3854 , 1638 , 1975 , 1 , A1 , 470000 , 42611 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6249 , 635 ,   , A3 , 23 TENAFLY PLACE ,   , 10312 , 1 , 0 , 1 , 5516 , 3508 , 2014 , 1 , A3 , 0 , 42525 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6249 , 700 ,   , A1 , 77 BENNETT AVENUE ,   , 10312 , 1 , 0 , 1 , 8322 , 2144 , 1986 , 1 , A1 , 950000 , 42494 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6251 , 14 ,   , A1 , 76 DOWNES AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1966 , 1974 , 1 , A1 , 0 , 42516 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6251 , 75 ,   , A5 , 97 BENNETT AVENUE ,   , 10312 , 1 , 0 , 1 , 3135 , 1344 , 1970 , 1 , A5 , 0 , 42633 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6251 , 80 ,   , A5 , 109 BENNETT AVENUE ,   , 10312 , 1 , 0 , 1 , 3283 , 1344 , 1970 , 1 , A5 , 0 , 42601 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6254 , 99 ,   , A1 , 75 SOUTH RAILROAD ST ,   , 10312 , 1 , 0 , 1 , 2960 , 1362 , 1993 , 1 , A1 , 95000 , 42502 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6257 , 90 ,   , A2 , 10 BURCHARD COURT ,   , 10312 , 1 , 0 , 1 , 6138 , 1086 , 1955 , 1 , A2 , 390000 , 42605 
