"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.date","sale.price.n","gross.sqft","land.sqft","years.built","cs.pricePERsqft"
"443",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",5733,24,NA," B9 "," 133 ERIKA LOOP ","   "," 10312 ",2,0,2,1," B9 ",42559,510000,2285,2320,2001,223.194748358862
"444",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",5733,40,NA," B9 "," 142 ERIKA LOOP ","   "," 10312 ",2,0,2,1," B9 ",42584,550000,2285,1920,2001,240.700218818381
"445",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",5733,70,NA," B9 "," 68 ERIKA LOOP ","   "," 10312 ",2,0,2,1," B9 ",42612,580000,2285,3080,2001,253.82932166302
"446",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",5733,76,NA," B9 "," 60 ERIKA LOOP ","   "," 10312 ",2,0,2,1," B9 ",42621,496860,2285,1920,2000,217.44420131291
"447",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",5775,13,NA," B2 "," 170 HALPIN AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42534,541000,2392,6350,1986,226.170568561873
"450",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",5777,23,NA," B2 "," 309 ARDEN AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42688,645000,2450,18310,1990,263.265306122449
"455",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6013,27,NA," B1 "," 75 CANTON AVENUE ","   "," 10312 ",2,0,2,1," B1 ",42531,550000,2184,4150,1975,251.831501831502
"457",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6013,31,NA," B1 "," 83 CANTON AVENUE ","   "," 10312 ",2,0,2,1," B1 ",42559,655000,2374,8000,1975,275.905644481887
"460",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6015,29,NA," B2 "," 96 HOLCOMB AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42551,625000,2600,4000,1965,240.384615384615
"462",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6022,54,NA," B9 "," 36 MAPLE COURT ","   "," 10312 ",2,0,2,1," B9 ",42738,565000,1900,4807,1980,297.368421052632
"463",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6022,54,NA," B9 "," 36 MAPLE COURT ","   "," 10312 ",2,0,2,1," B9 ",42530,372138,1900,4807,1980,195.862105263158
"464",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6022,432,NA," B9 "," 30 DOGWOOD DRIVE ","   "," 10312 ",2,0,2,1," B9 ",42460,530000,2608,3150,1980,203.220858895706
"467",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6023,228,NA," B9 "," 127 GREEN VALLEY ROAD ","   "," 10312 ",2,0,2,1," B9 ",42705,585000,2248,1981,1983,260.231316725979
"468",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6023,273,NA," B2 "," 40 VICTORIA ROAD ","   "," 10312 ",2,0,2,1," B2 ",42629,422000,2220,2730,1980,190.09009009009
"470",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6024,5,NA," B9 "," 96 RUSSEK DRIVE ","   "," 10312 ",2,0,2,1," B9 ",42629,400000,2080,2250,1980,192.307692307692
"471",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6024,42,NA," B9 "," 5 LISA LANE ","   "," 10312 ",2,0,2,1," B9 ",42745,319410,2392,2340,1980,133.532608695652
"472",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6024,43,NA," B9 "," 7 LISA LANE ","   "," 10312 ",2,0,2,1," B9 ",42480,316301,2392,2070,1980,132.232859531773
"473",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6024,203,NA," B9 "," 12 LISA LANE ","   "," 10312 ",2,0,2,1," B9 ",42712,528000,2392,2070,1980,220.735785953177
"474",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6024,232,NA," B2 "," 22 MYRNA LANE ","   "," 10312 ",2,0,2,1," B2 ",42629,450000,2520,2070,1980,178.571428571429
"475",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6024,271,NA," B2 "," 109 RUSSEK DRIVE ","   "," 10312 ",2,0,2,1," B2 ",42682,645000,2392,3600,1983,269.648829431438
"476",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6024,272,NA," B9 "," 115 RUSSEK DRIVE ","   "," 10312 ",2,0,2,1," B9 ",42691,410000,2392,1710,1980,171.404682274248
"477",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6047,145,NA," B1 "," 891 WOODROW ROAD ","   "," 10312 ",2,0,2,1," B1 ",42481,955000,4840,22249,1986,197.314049586777
"478",5," ARDEN HEIGHTS "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6050,120,NA," B2 "," 71 CASTOR PLACE ","   "," 10312 ",2,0,2,1," B2 ",42548,945954,3007,5643,2015,314.583970734952
"506",5," ARDEN HEIGHTS "," 21 OFFICE BUILDINGS                         "," 4 ",6010,66,NA," O7 "," 358 ARDEN AVENUE ","   "," 10312 ",0,1,1,4," O7 ",42712,405000,1008,7620,1960,401.785714285714
"507",5," ARDEN HEIGHTS "," 21 OFFICE BUILDINGS                         "," 4 ",6018,144,NA," O7 "," 180 ARDEN AVENUE ","   "," 10312 ",0,1,1,4," O7 ",42530,290000,1092,2960,1973,265.567765567766
"508",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3074,64,NA," A2 "," 50 WADSWORTH AVENUE ","   "," 10305 ",1,0,1,1," A2 ",42538,410000,825,2500,1920,496.969696969697
"510",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3085,33,NA," A3 "," 25 GARSON AVENUE ","   "," 10305 ",1,0,1,1," A3 ",42545,1400000,4074,12000,2000,343.642611683849
"511",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3089,13,NA," A1 "," 378 FINGERBOARD ROAD ","   "," 10305 ",1,0,1,1," A1 ",42579,927500,2688,7325,1999,345.052083333333
"512",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3101,66,NA," A1 "," 40 HASTINGS STREET ","   "," 10305 ",1,0,1,1," A1 ",42600,550000,2690,7009,1945,204.460966542751
"513",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3102,63,NA," A1 "," 98 LILY POND AVENUE ","   "," 10305 ",1,0,1,1," A1 ",42586,755000,2280,6100,1965,331.140350877193
"514",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3102,104,NA," A5 "," 56 SAVO LANE ","   "," 10305 ",1,0,1,1," A5 ",42615,460000,1176,1024,1997,391.156462585034
"518",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3103,32,NA," A5 "," 16 FLORIDA AVENUE ","   "," 10305 ",1,0,1,1," A5 ",42657,645000,1760,3100,2005,366.477272727273
"519",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3104,55,NA," A5 "," 164 LILY POND AVENUE ","   "," 10305 ",1,0,1,1," A5 ",42667,570000,1106,1827,2010,515.370705244123
"520",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3105,17,NA," A5 "," 141 LILY POND AVENUE ","   "," 10305 ",1,0,1,1," A5 ",42562,520000,1224,2850,1975,424.83660130719
"521",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3106,75,NA," A2 "," 1100 TOMPKINS AVENUE ","   "," 10305 ",1,0,1,1," A2 ",42438,459999,970,5080,1950,474.225773195876
"522",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3108,1,NA," S0 "," 159 SAND LANE ","   "," 10305 ",1,2,3,1," S0 ",42683,735000,2400,4000,1945,306.25
"523",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3109,49,NA," A1 "," 169 CEDAR AVENUE ","   "," 10305 ",1,0,1,1," A1 ",42516,525000,2900,3400,1945,181.034482758621
"524",5," ARROCHAR "," 01 ONE FAMILY DWELLINGS                     "," 1 ",3112,2,NA," A1 "," 33 MILLS AVENUE ","   "," 10305 ",1,0,1,1," A1 ",42615,254100,1690,2348,2006,150.355029585799
"526",5," ARROCHAR "," 02 TWO FAMILY DWELLINGS                     "," 1 ",3074,76,NA," B1 "," 20 WADSWORTH AVENUE ","   "," 10305 ",2,0,2,1," B1 ",42726,830000,3150,7000,1965,263.492063492063
"527",5," ARROCHAR "," 02 TWO FAMILY DWELLINGS                     "," 1 ",3103,89,NA," B9 "," 18 PEBBLE LANE ","   "," 10305 ",2,0,2,1," B9 ",42746,685000,1470,2400,1998,465.986394557823
"528",5," ARROCHAR "," 02 TWO FAMILY DWELLINGS                     "," 1 ",3114,4,NA," B2 "," 27 JACKSON AVENUE ","   "," 10305 ",2,0,2,1," B2 ",42562,725000,1905,7150,1925,380.577427821522
"532",5," ARROCHAR "," 02 TWO FAMILY DWELLINGS                     "," 1 ",3114,33,NA," S2 "," 134 MC CLEAN AVENUE ","   "," 10305 ",2,1,3,1," S2 ",42594,560000,2304,3900,1950,243.055555555556
"534",5," ARROCHAR "," 02 TWO FAMILY DWELLINGS                     "," 1 ",3114,50,NA," B2 "," 34 CONGER STREET ","   "," 10305 ",2,0,2,1," B2 ",42704,497500,1772,3731,1925,280.756207674944
"535",5," ARROCHAR "," 03 THREE FAMILY DWELLINGS                   "," 1 ",3104,73,NA," C0 "," 83 MC CLEAN AVENUE ","   "," 10305 ",3,0,3,1," C0 ",42426,500000,2292,3060,1964,218.150087260035
"536",5," ARROCHAR "," 03 THREE FAMILY DWELLINGS                   "," 1 ",3104,78,NA," C0 "," 85 MCCLEAN AVENUE ","   "," 10305 ",3,0,3,1," C0 ",42410,650000,2248,3060,1940,289.14590747331
"537",5," ARROCHAR "," 03 THREE FAMILY DWELLINGS                   "," 1 ",3108,15,NA," C0 "," 137 SAND LANE ","   "," 10305 ",3,0,3,1," C0 ",42720,450000,5160,5400,1931,87.2093023255814
"538",5," ARROCHAR "," 03 THREE FAMILY DWELLINGS                   "," 1 ",3113,44,NA," C0 "," 22 JACKSON AVENUE ","   "," 10305 ",3,0,3,1," C0 ",42551,865000,1875,7500,1950,461.333333333333
"542",5," ARROCHAR "," 14 RENTALS - 4-10 UNIT                      "," 2A ",3103,60,NA," S3 "," 133 MC CLEAN AVENUE ","   "," 10305 ",3,1,4,2," S3 ",42537,440000,2400,5000,1931,183.333333333333
"543",5," ARROCHAR-SHORE ACRES "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2831,149,NA," A1 "," 108 ABBOTT STREET ","   "," 10305 ",1,0,1,1," A1 ",42503,310000,1300,2300,1920,238.461538461538
"544",5," ARROCHAR-SHORE ACRES "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2831,210,NA," A5 "," 30 KEELEY STREET ","   "," 10305 ",1,0,1,1," A5 ",42675,239304,1200,742,1994,199.42
"545",5," ARROCHAR-SHORE ACRES "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2832,74,NA," A5 "," 51 NEW LANE ","   "," 10305 ",1,0,1,1," A5 ",42509,555000,1480,1778,1995,375
"546",5," ARROCHAR-SHORE ACRES "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2832,86,NA," A5 "," 35 NEW LANE ","   "," 10305 ",1,0,1,1," A5 ",42543,533000,2530,2400,2004,210.671936758893
"548",5," ARROCHAR-SHORE ACRES "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2834,47,NA," A5 "," 47 CLIFF STREET ","   "," 10305 ",1,0,1,1," A5 ",42530,446160,1963,2426,2015,227.284768211921
"549",5," ARROCHAR-SHORE ACRES "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2834,48,NA," A5 "," 49 CLIFF STREET ","   "," 10305 ",1,0,1,1," A5 ",42542,440000,2185,2879,2015,201.37299771167
"550",5," ARROCHAR-SHORE ACRES "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2834,59,NA," A1 "," 73 CLIFF STREET ","   "," 10305 ",1,0,1,1," A1 ",42681,320000,1040,2500,1910,307.692307692308
"551",5," ARROCHAR-SHORE ACRES "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2834,60,NA," A1 "," 75 CLIFF STREET ","   "," 10305 ",1,0,1,1," A1 ",42712,305000,1606,2500,1910,189.912826899128
"553",5," ARROCHAR-SHORE ACRES "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2834,126,NA," A5 "," 52 NAUTILUS STREET ","   "," 10305 ",1,0,1,1," A5 ",42639,350000,1104,2000,1975,317.028985507246
"557",5," ARROCHAR-SHORE ACRES "," 02 TWO FAMILY DWELLINGS                     "," 1 ",2831,81,NA," B2 "," 47 WATERVIEW COURT ","   "," 10305 ",2,0,2,1," B2 ",42521,350500,1760,2040,1997,199.147727272727
"558",5," ARROCHAR-SHORE ACRES "," 02 TWO FAMILY DWELLINGS                     "," 1 ",2831,115,NA," B2 "," 2 ANDREASE STREET ","   "," 10305 ",2,0,2,1," B2 ",42621,715000,2246,3338,2004,318.343722172752
"561",5," ARROCHAR-SHORE ACRES "," 02 TWO FAMILY DWELLINGS                     "," 1 ",2832,72,NA," B9 "," 55 NEW LANE ","   "," 10305 ",2,0,2,1," B9 ",42473,490000,1480,1870,1995,331.081081081081
"583",5," ARROCHAR-SHORE ACRES "," 22 STORE BUILDINGS                          "," 4 ",2830,1,NA," K1 "," 1223 BAY STREET ","   "," 10305 ",0,1,1,4," K1 ",42745,638000,1835,2875,1931,347.683923705722
"585",5," BLOOMFIELD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",2172,65,NA," A1 "," 3499 VICTORY BOULEVARD ","   "," 10314 ",1,0,1,1," A1 ",42486,499900,1854,7560,1915,269.633225458468
"590",5," BLOOMFIELD "," 30 WAREHOUSES                               "," 4 ",2172,60,NA," E7 "," 3493 VICTORY BOULEVARD ","   "," 10314 ",0,1,1,4," E7 ",42482,4400000,18000,27700,1995,244.444444444444
"610",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1495,39,NA," A9 "," 45H DEPPE PLACE ","   "," 10314 ",1,0,1,1," A9 ",42534,350000,960,2190,1990,364.583333333333
"611",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1495,47,NA," A5 "," 45B DEPPE PLACE ","   "," 10314 ",1,0,1,1," A5 ",42464,275000,1240,560,1987,221.774193548387
"612",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1499,4,NA," A2 "," 507 WEST CASWELL AVENUE ","   "," 10314 ",1,0,1,1," A2 ",42425,240000,1320,3373,1945,181.818181818182
"613",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1516,21,NA," A1 "," 570 WEST CASWELL AVENUE ","   "," 10314 ",1,0,1,1," A1 ",42627,165000,736,3360,1899,224.184782608696
"616",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1560,213,NA," A5 "," 38 GREENTREE LANE ","   "," 10314 ",1,0,1,1," A5 ",42745,283000,1036,760,1984,273.166023166023
"617",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1574,153,NA," A1 "," 69 COMMERCE STREET ","   "," 10314 ",1,0,1,1," A1 ",42632,649000,1898,6138,1970,341.938883034773
"618",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1575,21,NA," A1 "," 19 OLIVER PLACE ","   "," 10314 ",1,0,1,1," A1 ",42509,630000,2192,4200,1970,287.408759124088
"619",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1576,21,NA," A1 "," 23 NADAL PLACE ","   "," 10314 ",1,0,1,1," A1 ",42654,580000,1988,4200,1970,291.750503018109
"620",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1576,25,NA," A9 "," 15 NADAL PLACE ","   "," 10314 ",1,0,1,1," A9 ",42584,519000,1440,3150,1970,360.416666666667
"621",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1577,33,NA," A1 "," 4 NADAL PLACE ","   "," 10314 ",1,0,1,1," A1 ",42422,577500,2076,4725,1970,278.179190751445
"622",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1581,71,NA," A5 "," 1528 RICHMOND AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42403,375000,1660,1338,1988,225.903614457831
"624",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1581,83,NA," A5 "," 23 JARDINE AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42608,420000,1600,1323,1988,262.5
"625",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1591,16,NA," A5 "," 263 LANDER AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42432,325000,1246,1169,1995,260.83467094703
"626",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1591,27,NA," A5 "," 291 LANDER AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42552,399000,1246,2865,1995,320.224719101124
"627",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1591,81,NA," A5 "," 15 HIRSCH LANE ","   "," 10314 ",1,0,1,1," A5 ",42528,133770,1330,2302,1995,100.578947368421
"628",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1591,90,NA," A5 "," 37 HIRSCH LANE ","   "," 10314 ",1,0,1,1," A5 ",42691,198000,1410,1302,1995,140.425531914894
"632",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1596,22,NA," A2 "," 125 LANDER AVENUE ","   "," 10314 ",1,0,1,1," A2 ",42612,284000,1050,6000,1950,270.47619047619
"633",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1597,71,NA," A5 "," 287 HILLMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42670,399900,1296,1854,1970,308.564814814815
"634",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1597,93,NA," A5 "," 249 HILLMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42510,399000,1392,2678,1970,286.637931034483
"635",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1597,98,NA," A5 "," 239 HILLMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42465,385000,1284,1854,1970,299.844236760125
"636",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1597,202,NA," A5 "," 321D HILLMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42422,343400,1260,1350,1975,272.539682539683
"637",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1598,48,NA," A9 "," 202 KIRSHON AVENUE ","   "," 10314 ",1,0,1,1," A9 ",42682,499000,1440,2750,1975,346.527777777778
"638",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1598,53,NA," A2 "," 192 KIRSHON AVENUE ","   "," 10314 ",1,0,1,1," A2 ",42678,457500,2150,4000,1965,212.790697674419
"640",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1598,57,NA," A2 "," 184 KIRSHON AVENUE ","   "," 10314 ",1,0,1,1," A2 ",42493,485000,2150,4000,1965,225.581395348837
"641",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1599,13,NA," A2 "," 194 LANDER AVENUE ","   "," 10314 ",1,0,1,1," A2 ",42607,450000,1182,6480,1965,380.710659898477
"642",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1599,79,NA," A1 "," 157 FIELDSTONE ROAD ","   "," 10314 ",1,0,1,1," A1 ",42432,549500,1988,4000,1970,276.408450704225
"644",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,1,NA," A5 "," 146 ELSON STREET ","   "," 10314 ",1,0,1,1," A5 ",42597,561055,1645,2889,2015,341.066869300912
"645",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,2,NA," A5 "," 144 ELSON STREET ","   "," 10314 ",1,0,1,1," A5 ",42536,466440,1645,1597,2015,283.550151975684
"646",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,3,NA," A5 "," 142 ELSON STREET ","   "," 10314 ",1,0,1,1," A5 ",42548,469482,1645,1597,2015,285.399392097264
"647",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,4,NA," A5 "," 140 ELSON STREET ","   "," 10314 ",1,0,1,1," A5 ",42542,505986,1645,2325,2015,307.590273556231
"648",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,5,NA," A5 "," 284 LAMBERTS LANE ","   "," 10314 ",1,0,1,1," A5 ",42404,481650,1645,2269,2015,292.796352583587
"649",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,8,NA," A5 "," 186 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42411,445146,1645,1379,2015,270.60547112462
"650",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,11,NA," A5 "," 192 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42431,464412,1645,2588,2015,282.317325227964
"651",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,12,NA," A5 "," 194 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42445,455286,1645,2573,2015,276.769604863222
"652",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,13,NA," A5 "," 196 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42472,455286,1645,2558,2015,276.769604863222
"653",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,15,NA," A5 "," 200 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42466,449000,1645,2528,2015,272.948328267477
"654",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,17,NA," A5 "," 204 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42475,455286,1645,2498,2015,276.769604863222
"655",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,18,NA," A5 "," 206 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42466,455286,1645,2483,2015,276.769604863222
"656",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,20,NA," A5 "," 210 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42480,473000,1645,2453,2015,287.537993920973
"657",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,21,NA," A5 "," 212 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42457,461370,1645,2438,2015,280.468085106383
"658",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,22,NA," A5 "," 214 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A5 ",42479,489762,1645,2423,2015,297.727659574468
"659",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1600,26,NA," A5 "," 22 PYRAMID COURT ","   "," 10314 ",1,0,1,1," A5 ",42690,624000,1887,2089,2014,330.683624801272
"664",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1602,35,NA," B2 "," 145 ELSON STREET ","   "," 10314 ",2,0,2,1," A5 ",42625,507000,1884,1395,2015,269.108280254777
"665",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1602,36,NA," B2 "," 147 ELSON STREET ","   "," 10314 ",2,0,2,1," A5 ",42670,500916,1884,1395,2015,265.87898089172
"666",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1605,59,NA," A9 "," 135 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A9 ",42509,440000,1304,2484,1965,337.423312883436
"667",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1605,132,NA," A2 "," 179 KIRSHON AVENUE ","   "," 10314 ",1,0,1,1," A2 ",42543,450500,2150,3760,1965,209.53488372093
"668",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1606,35,NA," A1 "," 52 ROMAN AVENUE ","   "," 10314 ",1,0,1,1," A1 ",42695,778961,2288,6720,2015,340.454982517483
"669",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1607,19,NA," A2 "," 23 MAY AVENUE ","   "," 10314 ",1,0,1,1," A2 ",42403,413000,1410,5760,1950,292.90780141844
"671",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1610,40,NA," A2 "," 17 SELDIN AVENUE ","   "," 10314 ",1,0,1,1," A2 ",42741,465000,1140,6110,1945,407.894736842105
"672",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1616,4,NA," A9 "," 62 LEIGH AVENUE ","   "," 10314 ",1,0,1,1," A9 ",42685,379000,1380,1620,1986,274.63768115942
"673",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1616,64,NA," A5 "," 297 LAMBERTS LANE ","   "," 10314 ",1,0,1,1," A5 ",42412,274500,1150,1350,1986,238.695652173913
"674",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1620,17,NA," A9 "," 57 LONGDALE STREET ","   "," 10314 ",1,0,1,1," A9 ",42740,370000,1456,3083,1975,254.120879120879
"675",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1620,30,NA," A9 "," 25 LONGDALE STREET ","   "," 10314 ",1,0,1,1," A9 ",42684,410000,1344,3241,1975,305.059523809524
"676",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1620,46,NA," A9 "," 180 FAHY AVENUE ","   "," 10314 ",1,0,1,1," A9 ",42416,374500,1110,2668,1975,337.387387387387
"677",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1621,12,NA," A5 "," 52 LONGDALE STREET ","   "," 10314 ",1,0,1,1," A5 ",42695,520000,1326,2550,1981,392.156862745098
"678",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1621,12,NA," A5 "," 52 LONGDALE STREET ","   "," 10314 ",1,0,1,1," A5 ",42592,295000,1326,2550,1981,222.473604826546
"680",5," BULLS HEAD "," 01 ONE FAMILY DWELLINGS                     "," 1 ",1631,18,NA," A9 "," 39 CASWELL LANE ","   "," 10314 ",1,0,1,1," A9 ",42579,335000,2052,1620,1987,163.255360623782
